ID	[ADD CALENDAR ID HERE]
Name	StartTime	EndTime	TimeZone	Location	Description	MoreDetails	IsScheduled
AI607: Role of Computer Vision in Revolutionizing Computer-Assisted Surgery	Wednesday, October 2, 2019 11:30 AM	Wednesday, October 2, 2019 12:00 PM	UTC-4	OCCC W304C	Audience Level: Intermediate | Track: Artificial Intelligence | Focus Area: AI Applications | Start Date: Wednesday, October 2, 2019 | Start Time: 11:30 AM | End Time: 12:00 PM | Location: OCCC W304C | Speakers: Niveditha Kalavakonda	Computer-assisted surgery has evolved with the advancing technology to augment a surgeon's ability to administer surgical procedures. It assists in decreasing the invasiveness of surgical procedures and improving safety and accuracy. This talk will provide an overview of the work in computer vision and surgical robotics that the author and her colleagues have done in CAS at the BioRobotics Lab.	N
SE670: Microservice Architecture: Orchestration to Reactive Approach	Wednesday, October 2, 2019 11:30 AM	Wednesday, October 2, 2019 12:00 PM	UTC-4	OCCC W224D	Audience Level: Intermediate | Track: Software Engineering | Focus Area: Architecture and Design of Large-Scale Software | Start Date: Wednesday, October 2, 2019 | Start Time: 11:30 AM | End Time: 12:00 PM | Location: OCCC W224D | Speakers: Divya Goel, Chandni Jain	"""Microservices are something you grow into, not begin with."" In this presentation we will discuss orchestration, reactive and hybrid approach to the microservice paradigm. We will dive into how we applied these to Walmart's catalog serving millions of items."	N
CR311: The Future is Now, Let's Retain Women in Tech	Wednesday, October 2, 2019 11:30 AM	Wednesday, October 2, 2019 12:00 PM	UTC-4	Hyatt Regency Ballroom S	Audience Level: Mid-Career | Track: Career | Focus Area: Inclusion and Cultural Awareness | Start Date: Wednesday, October 2, 2019 | Start Time: 11:30 AM | End Time: 12:00 PM | Location: Hyatt Regency Ballroom S | Speakers: Jossie Haines	After burning out and leaving the tech industry in early 2018, Jossie Haines had a revelation and had to come back and start a mission to keep women in tech.  The future is now, yet we aren't there to influence it.  Come learn why resilience, a good boss and sponsor and environment are key to keeping women in tech.  Feel empowered to be brave and find an environment where you can thrive.	N
OT304: Action Steps for Change: Ways To Create A Diverse Workforce at Every Level	Wednesday, October 2, 2019 11:30 AM	Wednesday, October 2, 2019 12:30 PM	UTC-4	Hyatt Regency Ballroom Q	Audience Level: Mid-Career | Track: Organizational Transformation | Focus Area: Channeling Insights into Culture Change | Start Date: Wednesday, October 2, 2019 | Start Time: 11:30 AM | End Time: 12:30 PM | Location: Hyatt Regency Ballroom Q | Speakers: Anne Cocquyt, Patty Dingle, Tamara Mendelsohn, Shu-Yi Zhou, Cara Shortsleeve	Three industry leaders share their experiences leading gender equality initiatives at technology companies. Audience members will learn three ways to create a diverse culture via examples in hiring practices, programs for advancement, and ERGs so that they can foster inclusivity at their own companies. Discussion includes data on the gender gap from LinkedIn & the 2019 Women in Product survey.	N
DS564: Designing Data Visuals That Sparkle: Building Insight You Can See	Wednesday, October 2, 2019 11:30 AM	Wednesday, October 2, 2019 12:30 PM	UTC-4	OCCC W415B	Audience Level: Beginning | Track: Data Science | Focus Area: Novel Applications, Use Cases, and Lessons Learned | Start Date: Wednesday, October 2, 2019 | Start Time: 11:30 AM | End Time: 12:30 PM | Location: OCCC W415B | Speakers: Amber Hoak, Kate Lytvynets, David Tittsworth	Do you deal with data but struggle to create data visuals that tell a story? Data visuals create impact and insight, particularly with big data. D3.js is a powerful open source SVG drawing library that empowers you to design complex visuals. Learn core concepts of SVG, binding data, adding animation sparkle, and optimization tips. Walk away with your own interactive, compelling data visual.	N
CR134: How to Confront Sexists, Racists and Other Offenders Like a Boss	Wednesday, October 2, 2019 11:30 AM	Wednesday, October 2, 2019 12:30 PM	UTC-4	Hyatt Orlando Ballroom L	Audience Level: All | Track: Career | Focus Area: Inclusion and Cultural Awareness | Start Date: Wednesday, October 2, 2019 | Start Time: 11:30 AM | End Time: 12:30 PM | Location: Hyatt Orlando Ballroom L | Speakers: Jennifer Plummer, Marie Mendoza	Ever had someone say something offensive to you that rendered you speechless? Were you worried your response would be too emotional? Would you rather HR speak up for you? Did you think of the perfect response hours later? This workshop provides guidelines on how to professionally respond to offensive comments and allows practice through role play so you will not be caught off guard in the future.	N
CR201: I’m a Student Again: Heading to Graduate School after a Break	Wednesday, October 2, 2019 11:30 AM	Wednesday, October 2, 2019 12:30 PM	UTC-4	OCCC W307D	Audience Level: All | Track: CRA-W | Start Date: Wednesday, October 2, 2019 | Start Time: 11:30 AM | End Time: 12:30 PM | Location: OCCC W307D | Speakers: Anna Gommerstadt, India Irish	Considering graduate school after some time working? Already back in school? This session will cover how to position yourself to apply to graduate school, the differences between professional masters and Ph.D. programs, and tips for being successful in graduate school. We’ll have plenty of time for questions, so bring yours.	N
Professional Development Leadership Workshop: Leaders & Followers & Team Mates Oh My!	Wednesday, October 2, 2019 11:30 AM	Wednesday, October 2, 2019 1:30 PM	UTC-4	Hyatt Windermere Z	Audience Level: All | Track: Special Session | Start Date: Wednesday, October 2, 2019 | Start Time: 11:30 AM | End Time: 1:30 PM | Location: Hyatt Windermere Z | Speakers: Denise Brosseau	Throughout our career, we are asked to be leaders; of ourselves, of teams, in communities and of organizations. In this experiential workshop, we’ll explore frameworks of leadership, followership and teamwork; uncover what holds us back from being more effective in each of these roles; and create a plan for how to shift our mindset and develop skillsets of great leaders, team mates and followers.	N
HW522: Why Hardware is Hard: The Google Home Sound	Wednesday, October 2, 2019 11:30 AM	Wednesday, October 2, 2019 12:00 PM	UTC-4	OCCC W312C	Audience Level: Beginning | Track: Hardware | Focus Area: Makers and Hardware Outside the CPU | Start Date: Wednesday, October 2, 2019 | Start Time: 11:30 AM | End Time: 12:00 PM | Location: OCCC W312C | Speakers: Frances Kwee, Indu Ancha	A behind-the-scenes look at Google's hardware design process to lead the smart home revolution. An in-depth look at multi-disciplinary challenges, key strategies and design choices during the first three generations of Google Home smart speakers to design an exceptional audio-first product. Lessons learned from the perspective of an acoustics engineer and a mechanical engineer.	N
Speaker Lounge	Wednesday, October 2, 2019 11:30 AM	Wednesday, October 2, 2019 5:30 PM	UTC-4	OCCC W305	Audience Level: Invite Only | Start Date: Wednesday, October 2, 2019 | Start Time: 11:30 AM | End Time: 5:30 PM | Location: OCCC W305	GHC speakers are invited to rest and recharge before and after their sessions. Another opportunity to network with other speakers or get some quiet time.	N
Faculty Lounge	Wednesday, October 2, 2019 11:30 AM	Wednesday, October 2, 2019 5:30 PM	UTC-4	OCCC W209B	Audience Level: Faculty | Track: Lounge | Start Date: Wednesday, October 2, 2019 | Start Time: 11:30 AM | End Time: 5:30 PM | Location: OCCC W209B	The Faculty Lounge is a place for faculty and academic staff to informally network, catch up on work, and grab a snack or drink. The Faculty Lounge will be open throughout the conference where faculty and any other attendees with an Academic registration can come relax and take a break.	N
Interview Hall	Wednesday, October 2, 2019 11:30 AM	Wednesday, October 2, 2019 5:30 PM	UTC-4	OCCC Hall WD2	Start Date: Wednesday, October 2, 2019 | Start Time: 11:30 AM | End Time: 5:30 PM | Location: OCCC Hall WD2	Have you scheduled an interview with one of our Sponsors? If the booth number that you will be interviewing in is numbered between 3000 - 5500 you will want to arrive with enough time to pass badge security and to find your interview location.	N
GHC Career Fair and Technology Showcase	Wednesday, October 2, 2019 11:30 AM	Wednesday, October 2, 2019 5:30 PM	UTC-4	OCCC Hall WA4/WB1	Audience Level: All | Start Date: Wednesday, October 2, 2019 | Start Time: 11:30 AM | End Time: 5:30 PM | Location: OCCC Hall WA4/WB1	"GHC Expo is one of the most highly attended functions. It serve as an influential platform for companies, academics, governments, and industry experts to come together, share and learn information, hire qualified talents, network and build business relationships among women technologists. GHC Expo has hundreds of career fair and interview booths including poster sessions and Technology Showcase. 

Badges are required to enter the Expo Halls."	N
Senior Leadership Summit- Professional Development Track (Invite Only)	Wednesday, October 2, 2019 11:30 AM	Wednesday, October 2, 2019 5:30 PM	UTC-4	Rosen Centre Grand Ballroom C	Audience Level: Invite Only | Track: Invite Only | Start Date: Wednesday, October 2, 2019 | Start Time: 11:30 AM | End Time: 5:30 PM | Location: Rosen Centre Grand Ballroom C | Speakers: Jamika D Burge, Sukhinder Singh Cassidy, Selena Rezvani, Dolly Singh, Tamar Lucien, Lisa Gelobter, Jeni Panhorst, Tammy Sun, Cadran Cowansage, Dominique Hollins	The Professional Development Track of the Senior Leadership Summit (formally Senior Women's Program) is an invite only session for senior level career women who want to explore their leadership strategy and lead with greater effectiveness by delving into challenges faced at the highest levels of leadership. Attendees will build on core leadership skills and strengths to achieve peak performance.	N
Speakers Corner	Wednesday, October 2, 2019 11:30 AM	Wednesday, October 2, 2019 5:30 PM	UTC-4	AnitaB.org Booth (631)	Start Date: Wednesday, October 2, 2019 | Start Time: 11:30 AM | End Time: 5:30 PM | Location: AnitaB.org Booth (631) | Speakers: Kesha Williams, Jessica Naziri, Natalya Bailey, Tal Rabin, Laura Haas, Erin MacLeod, Ana Roca Castro	Your Chance to Meet the Speakers!Stop by the AnitaB.org Booth #631 at the top of the hour to catch your favorite speakers in the Speakers Corner Theater. You’ll hear from ABIE Award winners, Keynote and Featured Speakers, and Academic and Tech Community Leaders in an intimate and informal setting.11:45 a.m. – 12:30 p.m. – Meet and Greet and Q&A with Keynote Speaker Ana Roca Castro1:00 p.m. – 1:45 p.m. - Abie Awards 15th Anniversary with Abie Award Winners Dr. Natalya Bailey, Tal Rabin, Camilla Achutti, and Laura Haas2:00 p.m. – 2:45 p.m. – Meet and Greet and Q&A with Featured Speaker Erin MacLeod3:00 p.m. – 3:45 p.m. – Meet and Greet with Featured Speaker Jessica Naziri4:00 p.m. – 4:45 p.m. – Increase Confidence and Visibility by Learning with Kesha Williams	N
Membership Special Lounge (Inaugural Offer)	Wednesday, October 2, 2019 11:30 AM	Wednesday, October 2, 2019 5:30 PM	UTC-4	OCCC W306A	Audience Level: Invite Only | Track: Lounge | Start Date: Wednesday, October 2, 2019 | Start Time: 11:30 AM | End Time: 5:30 PM | Location: OCCC W306A	"An exclusive lounge space that provides a premium experience for members of the AnitaB.org Membership Program. It is a comfortable place to ""camp out"" between sessions and meet people; and also a compelling reason for Grace Hopper Conference attendees to immediately join AnitaB.org Membership Program."	N
Mentoring Circles	Wednesday, October 2, 2019 11:30 AM	Wednesday, October 2, 2019 12:40 PM	UTC-4	OCCC WF2	Audience Level: All | Track: Mentoring Circles | Start Date: Wednesday, October 2, 2019 | Start Time: 11:30 AM | End Time: 12:40 PM | Location: OCCC WF2 | Speakers: Ayanna Howard, LaCinda Clem, Kathrin Nos, Kylie Taitano, Parul Seth, Wendy Lucas, Catherine Spence, Jaelle Scheuerman, Rachelle Helton, Gail Alverson, Kesha Williams, Stefanie Schmitt, Jennifer Xu, Susan Galbraith, Baerbel Haenelt, Salina Greenwalt, Vineetha Menon, Letha Etzkorn, Johanna Rusly, Jacquelyne Howard, Nikita Chhabria, Shailvi Wakhlu, Sofia Zaks, Kate Hanpachern, Katie Le, Lusen Mendel, Alicia Tang, Zhiling Wan, D'Yanna Craighead, Preeti Shekar, Dawn Wright, Alice Tian, Pooja Sund, Penelope Brooks, Ilisha Ramachandran, Alicia Jay White, Anita Rao, Steffi Dsouza, Margret Schmidt, Manisha Sule, Kanika Khosla, Chandrika Gokul, Diana Lovati, Hena Teinzer, Dagna Bieda, Samira Tasharofi, Annapurna Vadaparty, Neha Kulkarni, Kanika Sharma, Julia Kieserman, Sarah Mogin, Na'Kaila Sandidge, Jessica Kuhl, Ming Lin, Deb Agarwal, Susan Rodger, Rinki Sethi, Shelley Westman, Stephanie Ginos, Snehal Khandker, Yerika Jimenez, Maria Gini, Maria Jump, Bushra Anjum, Diane Woodbridge, Jeannie Albrecht, Sheila Castaneda, Nancy Amato	Before you meet with organizations in the Expo Hall, be sure to attend this interactive mentoring session, where you'll receive great tips on job searching, interviews, and furthering your career. Each of the 50 tables is hosted by a mentor focusing on a particular topic. Attendees choose a topic and chat with a mentor for 20 min. Every 20 min, attendees switch tables and chat with another mentor. Learn more about topics and speakers on our website.	N
SP669: Building Blocks of Security As A Service	Wednesday, October 2, 2019 11:30 AM	Wednesday, October 2, 2019 12:00 PM	UTC-4	OCCC WF3	Audience Level: Intermediate | Track: Security/Privacy | Focus Area: Security and Privacy Aspects of the Advanced CyberInfrastructure (CI) | Start Date: Wednesday, October 2, 2019 | Start Time: 11:30 AM | End Time: 12:00 PM | Location: OCCC WF3 | Speakers: Anjana Kambhampati	Trends like distributed endpoints, applications and data moving to the cloud are not only disrupting traditional workforce but are also increasing risks with increased attack surface and sophistication forcing organizations to outsource security. This talk will focus on the technical requirements needed to build products to enable providers and vendors to offer security as a service.	N
Student Lounge	Wednesday, October 2, 2019 11:30 AM	Wednesday, October 2, 2019 5:30 PM	UTC-4	OCCC W221C	Audience Level: Student | Track: Lounge | Start Date: Wednesday, October 2, 2019 | Start Time: 11:30 AM | End Time: 5:30 PM | Location: OCCC W221C	"The Student Lounge is a fun, interactive space where students can gather between sessions. The space will feature comfortable seating and student-focused amenities. The Student Lounge will be open throughout the conference for students to convene, mingle, and relax. They may stop by anytime they like.

Sponsored by Amazon and Western Digital"	N
IW532: Mirror, Mirror on the Dressing Room Wall, What Looks Good with This Dress?	Wednesday, October 2, 2019 11:30 AM	Wednesday, October 2, 2019 12:00 PM	UTC-4	OCCC W222B	Audience Level: Beginning | Track: Internet of Things/Wearable Tech | Start Date: Wednesday, October 2, 2019 | Start Time: 11:30 AM | End Time: 12:00 PM | Location: OCCC W222B | Speakers: Allison Youngdahl, Sunil Shettigar	E-commerce websites collect data on every click and purchase a customer makes, yet brick-and-mortar stores are relatively blind to what their customers are doing. We will present a way for retailers to visualize the customer journey through the store by creating a dressing room experience that receives customer feedback and improves product recommendations using IoT devices.	N
Communities Hall (Day 1)	Wednesday, October 2, 2019 11:30 AM	Wednesday, October 2, 2019 5:30 PM	UTC-4	Hyatt Florida Ballroom B	Audience Level: All | Track: Communities | Start Date: Wednesday, October 2, 2019 | Start Time: 11:30 AM | End Time: 5:30 PM | Location: Hyatt Florida Ballroom B	"Please join us in the Communities Hall to network, participate in professional development, collaborate with your peers, discuss future plans, and join a community of your choice. This dedicated space focuses on highlighting the skills, activities, accomplishments, and expertise of our Community Leader Volunteers and members of each community.  Come by to spend time with our Community Hall Sponsors: Discover, Google, FullStory, and Medidata. We are looking forward to facilitating connections, building relationships, and providing a greater opportunity to grow all AnitaB.org communities.Programming
11:30am – 12pm Networking ChaCha Slide12pm – 1pm Peer Resume Reviews 
1:30pm-2:30pm Interview Coaching 
3:00pm-4:00pm DIY Pay Equity 
4:00pm-5:30pm Lightening Tech Talks: What’s Your Why?  
Community Fair
11:30am-1:00pm Tokyo; Los Angeles; Silicon Valley; Iranian Women In Computing; Black Women In Computing; Latinas In Computing;
Pakistani Women In Computing1:30pm -3pm Nairobi; Chicago; Washington DC; Japanese Women In Computing; Indian Women In Computing; LGBTQA
In Computing; Worldwide Volunteers3:30pm – 5:00pm London; Dublin; Houston; Systers; Systers Spain 
Meetups/Socials1:30am-12:30pm Meetup/Social Celebrating Arab Women in Technical Roles
1pm-2pm Meetup/Social Celebrating Jewish and Kyrgyzstan Women in Technical Roles 
2:30pm-3:30pm Meetup/Social Celebrating Indian Women in Technical Roles 
4pm-5pm Meetup/Social Celebrating Chinese Women in Technical Roles"	N
Techniques for Photorealistic Realtime Gaming (on Intel Integrated Graphics)	Wednesday, October 2, 2019 12:00 PM	Wednesday, October 2, 2019 12:15 PM	UTC-4	Technology Showcase Theater, OCCC Expo Hall WB4	Start Date: Wednesday, October 2, 2019 | Start Time: 12:00 PM | End Time: 12:15 PM | Location: Technology Showcase Theater, OCCC Expo Hall WB4 | Speakers: Kelly Gawne	With the advent of stunning new technologies for real-time graphics, it's time we brought the benefits of these advances to users everywhere. From cinematic to gaming to the rise of VR and AR, real-time today is about shaping the landscape of the coming decades for collaborative, inclusive virtual experiences. Together we'll explore the state of real-time graphics through a new photorealistic demo that's built with Unreal Engine and showcases new techniques like variable rate shading.	N
Luncheon Celebrating Women of Color in Technical Roles	Wednesday, October 2, 2019 12:00 PM	Wednesday, October 2, 2019 1:30 PM	UTC-4	Hyatt Plaza International Ballroom D	Audience Level: All | Track: Lunches and Receptions | Start Date: Wednesday, October 2, 2019 | Start Time: 12:00 PM | End Time: 1:30 PM | Location: Hyatt Plaza International Ballroom D	This program, developed in partnership with CMD-IT and Underrepresented Women in Computing, focuses on raising awareness about the intersectionality of gender and race/culture. The audience includes anyone identifying themselves as a person of color: Black/African American, Hispanic/ Latina, Native American, Native Hawaiian, Pacific Islander, and Asian. This event celebrates this community.	N
Poster Session 1: CS Education, Information & Communications, Natural Language Processing, HCI	Wednesday, October 2, 2019 12:00 PM	Wednesday, October 2, 2019 2:30 PM	UTC-4	OCCC Hall WA4/WB1	Audience Level: All | Track: General Poster Session & ACM Student Research Competition | Start Date: Wednesday, October 2, 2019 | Start Time: 12:00 PM | End Time: 2:30 PM | Location: OCCC Hall WA4/WB1 | Speakers: Kanika Sabharwal, Nadiyah Johnson, Leila Zahedi, Mahsa Sahafaei, Phoebe Chua, Marjan Hosseinia, Taslima Akter, Ramona-Gabriela Comanescu, Dhivya Chinnappa, Tamanna Motahar, Chhavi Sharma, Nagashree Tadapatri Gundu Rao, Elliot Fox, Sahithya Reddivari, Leena Shekhar, Lan Zhang, Jihyeon Kim, Janaki Sheth, Malihe Alikhani, Vivian Guetler, Ting-Yu Ko, Breauna Spencer, Hannah Senediak, Bineeta Gupta, Tessa Forshaw, Ruchi Asthana, Muskaan Singh, Brittany DePoi, Farnaz Tehranchi, Claudia Rojas, Vicki Liu, Maral Kargarmoakhar, Aiswarya Baiju	Learn about the innovative technology the next generation is dreaming up on the following topics: Computer Science Education, Broadening participation in CS, Information and Communications Technology, Natural Language Processing, Human Computer Interaction. For more detailed information, visit our website.	N
CR238: Learn to Fish: Essentials in Navigating Roadblocks	Wednesday, October 2, 2019 12:15 PM	Wednesday, October 2, 2019 1:15 PM	UTC-4	Hyatt Regency Ballroom R	Audience Level: Early Career | Track: Career | Focus Area: Career Management Mastery | Start Date: Wednesday, October 2, 2019 | Start Time: 12:15 PM | End Time: 1:15 PM | Location: Hyatt Regency Ballroom R | Speakers: Rachel Fenn, Margaret Rosas, Jennifer Rettig	"The first skill that employers have to teach almost every new graduate is ""how to fish"" -- how to get past roadblocks without help, so that you can become independent in your work, and ultimately be more productive. This workshop will teach you basic fishing skills -- constructing experiments, finding answers online, communicating what you've tried, and asking productive questions."	N
OS658: Building a (Better) Open Source Community	Wednesday, October 2, 2019 12:15 PM	Wednesday, October 2, 2019 12:45 PM	UTC-4	OCCC W224A	Audience Level: Intermediate | Track: Open Source | Start Date: Wednesday, October 2, 2019 | Start Time: 12:15 PM | End Time: 12:45 PM | Location: OCCC W224A | Speakers: Lisa Tagliaferri	At its best, open source software is embedded in the communities that build and use it, but many open source projects could do more to promote inclusivity and diversity. How can we, as maintainers and contributors, work to make open source repositories welcoming spaces for developers and end users alike? We'll discuss how to expand participation and grow the open source community.	N
AZ506: Project to Product Leadership: Where to Begin	Wednesday, October 2, 2019 12:15 PM	Wednesday, October 2, 2019 1:15 PM	UTC-4	OCCC WF4	Audience Level: Beginning | Track: Products A to Z | Focus Area: Conceptualization | Start Date: Wednesday, October 2, 2019 | Start Time: 12:15 PM | End Time: 1:15 PM | Location: OCCC WF4 | Speakers: Nicole Bryan, Jaclyn Damiano, Kristen Biddulph, Aimee Bechtle	Have you heard about the movement from project to product management, but don't understand it? Join a panel of change agents for a discussion around enterprise project to product leadership. The panelists will share project to product transformations from ideation through operation; real-world examples of challenges faced in implementing this model; and the benefits reaped by its implementation.	N
CR217: Getting Ahead of the Change in the Way We Work - Will Your Skills Be Relevant in the Future?	Wednesday, October 2, 2019 12:15 PM	Wednesday, October 2, 2019 12:45 PM	UTC-4	Hyatt Regency Ballroom O	Audience Level: Early Career | Track: Career | Focus Area: The Future of Work | Start Date: Wednesday, October 2, 2019 | Start Time: 12:15 PM | End Time: 12:45 PM | Location: Hyatt Regency Ballroom O | Speakers: Katya Reuk	We are living through a major transformation in the way we work. 'Thinking machines' are replacing human jobs, changing the talent needs. But what will the future look like? What skillsets are disruptive tech companies already embracing? Leveraging extensive research and hands-on experience with talent transformations in tech, this session offers insights into new skills for a successful career.	N
TW512: Creating Meaningful Impact through Tech non-profits	Wednesday, October 2, 2019 12:15 PM	Wednesday, October 2, 2019 1:15 PM	UTC-4	OCCC W415D	Audience Level: Beginning | Track: Tech for Women | Focus Area: Non-profits & Mission-driven initiatives | Start Date: Wednesday, October 2, 2019 | Start Time: 12:15 PM | End Time: 1:15 PM | Location: OCCC W415D | Speakers: Heejae Lim, Rekha Pai Kamath, Neha Verma, Michelle Brown, Shannon Marie Farley	For-profit companies use cutting-edge technologies like AI and cloud to transform markets and industries. However there are still significant gaps in basic human needs. We will discuss how tech can be used to not only solve these big problems, but also create sustainable impact in areas where markets have failed like education, healthcare, financial inclusion, civic engagement and the environment.	N
HI525: Best Practices in Critique: How HCI Professionals Can Improve the Culture for Women in Tech	Wednesday, October 2, 2019 12:15 PM	Wednesday, October 2, 2019 12:45 PM	UTC-4	OCCC W311F	Audience Level: Beginning | Track: Human Computer Interaction | Focus Area: Human Factors and Best Practices | Start Date: Wednesday, October 2, 2019 | Start Time: 12:15 PM | End Time: 12:45 PM | Location: OCCC W311F | Speakers: Karen Holtzblatt, Carol Farnsworth	Critique, giving and receiving feedback on one's work, is an everyday experience in product design. But our research finds that 80% of women lose self-esteem when criticized. UX professionals are key participants in critique and often facilitate design sessions. The presenters will share critique practices derived from findings from our own and other's research and our work with technology teams.	N
